사용장소,주소,사용금액,lat,lng,거리
명인아구찜,서울 관악구 신림로26길 24-12 명인아구찜,298000,37.4723881,126.9346497,1618.6255694729073
명태어장,서울 관악구 남부순환로 1852 명태어장,889000,37.4798571,126.9555667,407.05631965845924
명품청기와감자탕,서울 관악구 난곡로 240 명품청기와감자탕,122000,37.4756722,126.9166936,3085.3584544782148
명품횡성한우가,서울 관악구 봉천로 266 명품횡성한우가,3230000,37.4878658,126.9305152,2148.733754634496
모리,서울 관악구 낙성대역길 111 모리,160000,37.4740612,126.9648388,1257.6313012585338
모리돈부리,서울 관악구 관악로12길 모리돈부리,40000,37.4780533,126.9527314,106.64053452253546
모비딕커피,서울 관악구 관악로 144 모비딕커피,76000,37.477774,126.952434,87.83158884805498
모이세,서울 관악구 청룡1길 7 모이세,171000,37.4812849,126.9465954,561.2786633491822
모힝,서울 관악구 남부순환로226길 36 모힝,52000,37.4790279,126.9535036,203.22024732797956
목포낙지홍어,서울 동작구 사당로30길 161 목포낙지홍어,342000,37.4775457,126.9806662,2572.3231939461966
목포부부아구찜,서울 관악구 남부순환로206길 5 목포부부아구찜,747000,37.481949,126.9419605,946.5174259027582
목포산낙지철판해물,서울 관악구 조원로 125-1 목포산낙지철판해물,219000,37.48534,126.9162567,3214.5502544155966
목포수산,서울특별시 관악구 관천로 39 목포수산,218000,37.4828497,126.9267824,2246.331067110969
목포아구찜,서울 관악구 봉천로53길 22 목포아구찜,98000,37.4827987,126.9544053,581.649411347866
목포홍탁,서울 관악구 당곡길 14 목포홍탁,80000,37.4897661,126.9291142,2365.2499854906655
무교동갯벌낚지,서울 관악구 봉천로25길 5 무교동갯벌낚지,80000,37.4854256,126.9380971,1438.155977340202
무교동본낙지,서울 동작구 보라매로5길 15 무교동본낙지,159000,37.4921385,126.9242551,2868.4429896404954
무지개분식,서울 관악구 청룡3길 21 무지개분식,27000,37.4807665,126.9474665,465.296959389466
무한고기마을,서울 관악구 봉천로 304 무한고기마을,369200,37.4862229,126.9344668,1755.6573078487097
미가정맑은곰탕,서울 관악구 은천로 24 미가정맑은곰탕,83000,37.4859897,126.9378849,1489.7000781464642
미가할매집,서울 관악구 신림로 374 미가할매집,1177000,37.4876683,126.9289972,2254.8534927938754
미각 아구동태해물찜탕,서울 강서구 화곡로 216 미각 아구동태해물찜탕,119000,37.621198,126.9254868,16077.165160448012
미소야,서울 관악구 양녕로 46 미소야,28000,37.48610350000001,126.9472808,966.1174939601617
미소옻닭,서울 관악구 원신길 161-1 미소옻닭,84000,37.4983404,126.9173558,3762.5410515626895
미스터시래기,서울 서초구 남부순환로 2385 미스터시래기,180500,37.4801513,127.0114472,5292.667935324671
미운오리깡통집,서울 관악구 신원로 40-10 미운오리깡통집,107000,37.481672,126.9293191,1999.3618238822708
미추원주추어탕,서울 관악구 관악로 108 미추원주추어탕,821000,37.4747908,126.9531579,394.5855839639236
밀향기칼국수,서울 관악구 봉천로 593 밀향기칼국수,30000,37.4765046,126.9633773,1060.8060076069735
밋앤미트,서울 관악구 남부순환로 1888 밋앤미트,182000,37.4785051,126.9589921,660.5882372240444
바다양푼이동태탕,서울 관악구 난우길 28 바다양푼이동태탕,149000,37.4754514,126.9182017,2955.1525207364693
바다잔치,서울 관악구 청룡2길 18 바다잔치,68000,37.48140240000001,126.9450176,681.8798146499423
