자치구,벚나무,LAT,LON
강남구,벚나무,37.5210414,127.0595775
강남구,벚나무,37.4828034,127.0438903
강남구,벚나무,37.4830646,127.0438523
강동구,벚나무,37.5263346,127.1474302
강동구,벚나무,37.5263433,127.1476847
강동구,벚나무,37.5260182,127.1475565
강동구,벚나무,37.5199624,127.1448898
강동구,벚나무,37.5186156,127.1443558
강동구,벚나무,37.5192584,127.144609
강동구,벚나무,37.5423007,127.1246342
강동구,벚나무,37.5469368,127.126513
강동구,벚나무,37.5267914,127.1476142
강동구,벚나무,37.5416069,127.1243881
강동구,벚나무,37.5409319,127.1240998
강동구,벚나무,37.5427527,127.124794
강동구,벚나무,37.5187853,127.1444181
강동구,벚나무,37.527244,127.1480427
강동구,벚나무,37.5436925,127.1251265
강동구,벚나무,37.5438988,127.1254207
강동구,벚나무,37.5430174,127.125106
강동구,벚나무,37.5243388,127.1468854
강동구,벚나무,37.5262726,127.1456914
강동구,벚나무,37.5217887,127.1455991
강동구,벚나무,37.5189917,127.1445036
강동구,벚나무,37.5218409,127.1456123
강동구,벚나무,37.5271496,127.1477549
강동구,벚나무,37.5220629,127.145698
강동구,벚나무,37.5262946,127.1460171
강동구,벚나무,37.5195589,127.144731
강동구,벚나무,37.5197493,127.1448004
강동구,벚나무,37.5418126,127.1246633
강동구,벚나무,37.5446764,127.1254718
강동구,벚나무,37.528244,127.1481889
강동구,벚나무,37.5249562,127.1471288
강동구,벚나무,37.521739,127.1455728
강동구,벚나무,37.5420978,127.1247726
강동구,벚나무,37.526236,127.1458205
강동구,벚나무,37.5193289,127.144642
강동구,벚나무,37.5280472,127.1481034
강동구,벚나무,37.5263708,127.1453014
강동구,벚나무,37.5262773,127.1460951
강동구,벚나무,37.5405102,127.1239481
강동구,벚나무,37.5421995,127.1248126
강동구,벚나무,37.5255072,127.1473533
강동구,벚나무,37.5260849,127.1464042
강동구,벚나무,37.5258009,127.147467
강동구,벚나무,37.5328717,127.150392
강동구,벚나무,37.5265404,127.1475114
강동구,벚나무,37.5204044,127.1450686
강동구,벚나무,37.5253371,127.1470324
강동구,벚나무,37.5261181,127.1473436
강동구,벚나무,37.5262747,127.1476579
강동구,벚나무,37.5262888,127.1456094
강동구,벚나무,37.5221909,127.1457507
강동구,벚나무,37.5465161,127.1263573
강동구,벚나무,37.53965,127.1238532
강동구,벚나무,37.5473466,127.1264345
강동구,벚나무,37.5328198,127.1503706
강동구,벚나무,37.5444035,127.1255965
강동구,벚나무,37.52641,127.1477216
강동구,벚나무,37.5218827,127.1456386
강동구,벚나무,37.5427215,127.1250102
강동구,벚나무,37.5244105,127.1466622
강동구,벚나무,37.5596194,127.1434813
강동구,벚나무,37.5263125,127.1476713
강동구,벚나무,37.5471983,127.1266111
강동구,벚나무,37.5399096,127.1239487
