,2022-01-01 ~ 2022-01-31,,,,,,,,,
,키워드,지출,노출,클릭 ,CTR,CPC,CPA,구매,매출,ROAS
,한우1등급안심, ₩ 869 ,  2 ,  1 ,50.00%, ₩ 869 , ₩ - ,  - ,  - ,0.00%
,손님상, ₩ 858 ,  75 ,  1 ,1.33%, ₩ 858 , ₩ - ,  - ,  - ,0.00%
,설선물소고기, ₩ 825 ,  33 ,  2 ,6.06%, ₩ 413 , ₩ 413 ,  2 ,  - ,0.00%
,안심가격, ₩ 814 ,  11 ,  2 ,18.18%, ₩ 407 , ₩ - ,  - ,  - ,0.00%
,이유식안심, ₩ 814 ,  26 ,  2 ,7.69%, ₩ 407 , ₩ - ,  - ,  - ,0.00%
,장조림용소고기, ₩ 803 ,  69 ,  1 ,1.45%, ₩ 803 , ₩ - ,  - ,  - ,0.00%
,국거리소고기, ₩ 803 ,  115 ,  1 ,0.87%, ₩ 803 , ₩ - ,  - ,  - ,0.00%
,스테이크만드는법, ₩ 792 ,  7 ,  1 ,14.29%, ₩ 792 , ₩ - ,  - ,  - ,0.00%
,구이용소갈비, ₩ 759 ,  7 ,  1 ,14.29%, ₩ 759 , ₩ - ,  - ,  - ,0.00%
,한우명절세트, ₩ 748 ,  1 ,  1 ,100.00%, ₩ 748 , ₩ - ,  - ,  - ,0.00%
,한우양지살, ₩ 748 ,  6 ,  1 ,16.67%, ₩ 748 , ₩ - ,  - ,  - ,0.00%
,어르신명절선물, ₩ 737 ,  15 ,  1 ,6.67%, ₩ 737 , ₩ - ,  - ,  - ,0.00%
,구정명절선물, ₩ 737 ,  7 ,  1 ,14.29%, ₩ 737 , ₩ - ,  - ,  - ,0.00%
,소고기모듬구이, ₩ 737 ,  7 ,  1 ,14.29%, ₩ 737 , ₩ - ,  - ,  - ,0.00%
,바베큐셋트, ₩ 704 ,  4 ,  1 ,25.00%, ₩ 704 , ₩ - ,  - ,  - ,0.00%
,홈파티스테이크, ₩ 704 ,  9 ,  1 ,11.11%, ₩ 704 , ₩ - ,  - ,  - ,0.00%
,설로인르통, ₩ 693 ,  76 ,  9 ,11.84%, ₩ 77 , ₩ 347 ,  2 ,  - ,0.00%
,스테이크쇼핑몰, ₩ 693 ,  2 ,  1 ,50.00%, ₩ 693 , ₩ - ,  - ,  - ,0.00%
,스테이크한우, ₩ 682 ,  7 ,  1 ,14.29%, ₩ 682 , ₩ - ,  - ,  - ,0.00%
,생일파티음식, ₩ 671 ,  30 ,  1 ,3.33%, ₩ 671 , ₩ - ,  - ,  - ,0.00%
,스테이크고기파는곳, ₩ 605 ,  6 ,  2 ,33.33%, ₩ 303 , ₩ - ,  - ,  - ,0.00%
,양지살, ₩ 583 ,  37 ,  1 ,2.70%, ₩ 583 , ₩ - ,  - ,  - ,0.00%
,한우알등심, ₩ 583 ,  17 ,  2 ,11.76%, ₩ 292 , ₩ - ,  - ,  - ,0.00%
