,2022-01-01 ~ 2022-01-31,,,,,,
,키워드,사용자,세션,이탈수,이탈율,세션당PV,구매
,명품한우세트,2,2,1,50.00%,  1.50 ,0
,무항생제소고기,1,1,0,0.00%,  1.75 ,0
,무항생제한우,14,14,10,71.43%,  7.00 ,0
,바베큐,74,75,59,78.67%,  1.50 ,0
,바베큐고기,59,60,41,68.33%,  1.00 ,0
,바베큐세트,47,49,35,71.43%,  3.00 ,0
,바베큐셋트,1,1,0,0.00%,  2.00 ,0
,바베큐소고기,2,2,1,50.00%,  1.43 ,0
,바베큐용고기,8,8,6,75.00%,  2.79 ,0
,바베큐용소고기,5,5,5,100.00%,  1.52 ,0
,백화점설선물,3,3,2,66.67%,  1.78 ,0
,백화점한우선물세트,9,9,2,22.22%,  2.21 ,0
,베이비로인,1,1,0,0.00%,  1.00 ,0
,부모님명절선물,3,3,2,66.67%,  1.65 ,0
,부모님새해선물,3,3,2,66.67%,  1.00 ,0
,부모님생신상차림,38,39,33,84.62%,  2.00 ,0
,부모님생일상차림메뉴,5,5,5,100.00%,  3.30 ,0
,부모님설선물,6,6,4,66.67%,  2.00 ,0
,부채살스테이크,53,53,41,77.36%,  4.00 ,0
,불고기,9,9,5,55.56%,  1.86 ,0
,불고기용소고기,4,4,4,100.00%,  2.37 ,0
,비프스테이크,15,15,11,73.33%,  1.00 ,0
,사돈댁명절선물,3,2,1,50.00%,  1.00 ,0
,사돈명절선물,1,1,0,0.00%,  1.50 ,0
,사장님선물,1,1,1,100.00%,  4.35 ,0
,살치살,110,111,56,50.45%,  5.71 ,0
,살치살한우,1,1,0,0.00%,  2.50 ,0
,새해선물,21,21,16,76.19%,  6.00 ,0
,새해선물세트,4,4,2,50.00%,  2.17 ,0
,생신상,8,9,4,44.44%,  1.67 ,0
,생신상메뉴,7,7,7,100.00%,  2.81 ,0
,생신상차림,1,1,1,100.00%,  1.25 ,0
,생신음식,4,4,2,50.00%,  3.70 ,0
,생일상메뉴,15,15,12,80.00%,  2.71 ,0
,생일상차림,21,21,21,100.00%,  2.60 ,0
,생일상차림메뉴,53,53,48,90.57%,  1.00 ,0
,생일음식,16,16,15,93.75%,  1.33 ,0
,생일잔치음식,5,5,5,100.00%,  2.50 ,0
,생일파티음식,2,2,1,50.00%,  2.00 ,0
,샤토브리앙스테이크,1,1,1,100.00%,  1.56 ,0
,서로인,1,1,1,100.00%,  3.17 ,0
,선물세트,187,190,133,70.00%,  3.19 ,0
,선물세트추천,5,5,3,60.00%,  6.14 ,0
,선물셋트,27,27,25,92.59%,  1.00 ,0
,설날단체선물,1,1,1,100.00%,  6.50 ,0
,설날명절선물,2,2,1,50.00%,  1.40 ,0
,설날부모님선물,1,1,0,0.00%,  1.00 ,0
,설날선물,41,41,29,70.73%,  2.00 ,0
,설날선물세트,38,40,27,67.50%,  1.00 ,0
,설날선물세트추천,2,2,2,100.00%,  2.00 ,0
,설날선물셋트,1,1,1,100.00%,  2.00 ,0
,설날선물추천,4,5,3,60.00%,  1.00 ,0
,설날한우,5,5,2,40.00%,  2.50 ,0
,설날한우선물세트,2,2,0,0.00%,  2.59 ,0
