"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,도매위탁배송,32,0,0,0,0,4.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,도서랩핑,42,0,0,0,0,2.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,도서포장,22,0,0,0,0,13,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,라벨부착,176,0,0,0,0,4.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,라벨작업,383,0,0,0,0,4.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,무신사물류센터,3,0,0,0,0,2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,문서보관창고,7,0,0,0,0,9.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물건보관,79,1,1.27,"1,111","1,111",6.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물건보관업체,10,0,0,0,0,10.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물건보관장소,8,0,0,0,0,8.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물건보관창고,18,0,0,0,0,9.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류,"10,012",3,0.03,"1,533","4,598",2.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류관리,"4,680",1,0.03,"1,078","1,078",3.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류관리솔루션,363,0,0,0,0,13,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,물류관리시스템,340,0,0,0,0,19.6,0,0,0
