검색 키워드111,,,,,,,,,,,,,,,
2021년 10월 1일 (금) - 2021년 12월 31일 (금),,,,,,,,,,,,,,,
캠페인,광고그룹,검색 키워드,Google 검색 키워드 검색 유형,통화 코드,클릭수,노출수,클릭률(CTR),평균 CPC,비용,노출수(절대 상단) %,노출수(상단) %,전환,조회 후 전환,전환당비용,전환율
2_주력 상품,②_드랍쉬핑,아마존대행,확장검색,KRW,7,889,0.79%,258,1805,6.00%,57.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류스타트업,확장검색,KRW,7,269,2.60%,268,1878,2.13%,18.44%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오 배송,확장검색,KRW,7,347,2.02%,254,1775,11.11%,82.54%,0,0, --,0.00%
3_비주력 상품,③_기타,scm,확장검색,KRW,6,395,1.52%,290,1742,0.00%,22.73%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류관리,확장검색,KRW,6,430,1.40%,244,1462,3.13%,13.54%,0,0, --,0.00%
3_비주력 상품,③_기타,상품등록,확장검색,KRW,6,"2,582",0.23%,284,1706,10.00%,30.00%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,아마존배송대행,확장검색,KRW,6,"1,162",0.52%,266,1595,5.77%,30.77%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,창고임대,확장검색,KRW,6,810,0.74%,255,1530,0.00%,15.00%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,악세서리도매,확장검색,KRW,6,223,2.69%,208,1246,0.00%,42.86%,0,0, --,0.00%
3_비주력 상품,②_택배,택배 기사,확장검색,KRW,6,"4,179",0.14%,289,1736,0.00%,62.79%,0,0, --,0.00%
3_비주력 상품,③_기타,출고,확장검색,KRW,6,450,1.33%,292,1754,11.11%,22.22%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,3PL견적,확장검색,KRW,6,95,6.32%,267,1603,1.59%,15.87%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류플랫폼,확장검색,KRW,6,507,1.18%,264,1586,1.32%,10.55%,0,0, --,0.00%
3_비주력 상품,②_택배,택배발송,확장검색,KRW,6,607,0.99%,270,1621,13.89%,61.11%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,스마트스토어,확장검색,KRW,6,"4,145",0.14%,278,1668,0.00%,71.43%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류유통,확장검색,KRW,6,452,1.33%,265,1587,0.83%,10.83%,0,0, --,0.00%
3_비주력 상품,③_기타,냉매,확장검색,KRW,6,409,1.47%,286,1717,0.00%,34.62%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오직구방법,확장검색,KRW,5,824,0.61%,261,1307,9.80%,98.04%,0,0, --,0.00%
3_비주력 상품,②_택배,우체국택배 배송,확장검색,KRW,5,539,0.93%,294,1472,40.74%,92.59%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,해외구매대행사이트,확장검색,KRW,5,997,0.50%,256,1279,6.90%,68.97%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,컨테이너창고임대,확장검색,KRW,5,415,1.20%,257,1286,23.53%,94.12%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,남양주물류,확장검색,KRW,5,568,0.88%,289,1443,1.72%,17.82%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,쉽다,확장검색,KRW,5,333,1.50%,153,766,0.00%,71.43%,0,0, --,0.00%
3_비주력 상품,②_택배,익일택배,확장검색,KRW,5,361,1.39%,178,891,0.00%,0.00%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,평택물류,확장검색,KRW,5,407,1.23%,268,1341,4.41%,26.47%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,네이버 풀필먼트,확장검색,KRW,5,122,4.10%,265,1326,1.75%,42.11%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉장식품,확장검색,KRW,5,281,1.78%,253,1267,7.55%,26.42%,0,0, --,0.00%
3_비주력 상품,③_기타,상온,확장검색,KRW,5,420,1.19%,287,1433,4.55%,25.00%,0,0, --,0.00%
3_비주력 상품,②_택배,방문택배,확장검색,KRW,5,893,0.56%,295,1477,0.00%,62.50%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오 구매방법,확장검색,KRW,5,752,0.66%,284,1420,10.53%,94.74%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,해외 배대지,확장검색,KRW,5,"1,347",0.37%,271,1354,7.81%,49.22%,0,0, --,0.00%
3_비주력 상품,②_택배,전자기기택배,확장검색,KRW,4,62,6.45%,274,1094,66.67%,66.67%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,한국 쇼핑몰 해외배송,확장검색,KRW,4,326,1.23%,290,1159,3.45%,41.38%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,물류3PL,확장검색,KRW,4,227,1.76%,275,1100,3.01%,16.54%,0,0, --,0.00%
3_비주력 상품,③_기타,검수,확장검색,KRW,4,434,0.92%,274,1095,0.00%,0.00%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,알리바바직구,확장검색,KRW,4,747,0.54%,257,1027,3.82%,81.68%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,쿠거,확장검색,KRW,4,154,2.60%,202,809,0.00%,0.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,창고관리,확장검색,KRW,4,224,1.79%,245,980,0.00%,14.29%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,국내물류,확장검색,KRW,4,336,1.19%,291,1165,0.99%,17.82%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,중국 타오바오 직구,확장검색,KRW,4,170,2.35%,282,1127,10.34%,51.72%,0,0, --,0.00%
3_비주력 상품,②_택배,택배물류창고,확장검색,KRW,4,"1,106",0.36%,263,1052,5.88%,47.06%,0,0, --,0.00%
3_비주력 상품,③_기타,수송,확장검색,KRW,4,"1,012",0.40%,157,629,0.00%,8.33%,0,0, --,0.00%
3_비주력 상품,③_기타,적재,확장검색,KRW,4,"3,326",0.12%,219,876,0.00%,0.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,박스포장,확장검색,KRW,4,"1,616",0.25%,233,933,0.00%,11.76%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,실링,확장검색,KRW,4,"1,625",0.25%,240,961,4.35%,65.22%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,통합물류시스템,확장검색,KRW,4,33,12.12%,235,938,0.00%,20.83%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,3 pl,확장검색,KRW,4,84,4.76%,288,1151,4.76%,23.81%,0,0, --,0.00%
3_비주력 상품,③_기타,사입,확장검색,KRW,4,644,0.62%,231,924,0.00%,0.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,온라인물류,확장검색,KRW,4,192,2.08%,228,910,7.02%,24.56%,0,0, --,0.00%
3_비주력 상품,③_기타,포워딩,확장검색,KRW,4,713,0.56%,293,1172,0.00%,18.39%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,보냉박스,확장검색,KRW,4,174,2.30%,285,1138,2.27%,31.82%,0,0, --,0.00%
3_비주력 상품,①_창고,서울창고,확장검색,KRW,4,410,0.98%,402,1608,4.76%,47.62%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,컨테이너창고,확장검색,KRW,3,563,0.53%,250,749,15.38%,76.92%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,창고매매,확장검색,KRW,3,692,0.43%,221,663,0.00%,33.33%,0,0, --,0.00%
